review_id,example_id,direction,source_language,target_language,source_dataset,source_config,source_split,source_record_id,original_source_text,original_reference_text,reference_translation,candidate_translation,internal_quality_bucket,candidate_generation_method,dataset_version
MR-184,TASKA-ZHEN-040,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19257619,Looks like you have it already.,你已经有我的号码了?,Looks like you have it already.,Looks like you have it already.,high,reference_preserved_no_intentional_error,v1.0
MR-185,TASKA-ZHEN-066,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,9600288,He may still be alive.,他可能还活着。,He may still be alive.,He may still be alive.,high,reference_preserved_no_intentional_error,v1.0
MR-186,TASKA-ZHEN-090,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13637464,"They believe Mr. Breivik, who was responsible for the attack suffers from paranoid schizophrenia, and has done so for several years.",他们认为布雷维克先生... ...患有偏狂型精神分裂症 并已经患病多年,"They believe Mr. Breivik, who was responsible for the attack suffers from paranoid schizophrenia, and has done so for several years.","They believe Mr. Breivik, who was responsible schizophrenia, and has done so for several years.",low,substantial_contiguous_content_omission,v1.0
MR-187,TASKA-ENZH-010,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,271722,First thing we did when the hot rays of the sun came again was to build a Shinto shrine to speed our prayers.,炎热的阳光再现的时候，我们第一件做的事 就是搭建一个神道祠来努力祈祷,炎热的阳光再现的时候，我们第一件做的事 就是搭建一个神道祠来努力祈祷,炎热的阳光再现的时候，我建一个神道祠来努力祈祷,low,substantial_contiguous_content_omission,v1.0
MR-188,TASKA-ZHEN-045,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,9848230,- That you're moving out.,-告诉我你搬出去了呗,- That you're moving out.,-告诉我你搬出去了呗,very_low,wrong_language_source_copy,v1.0
MR-189,TASKA-ENZH-079,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4474117,Come look at this.,过来看看。,过来看看。,过来,very_low,severe_translation_omission,v1.0
MR-190,TASKA-ZHEN-033,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13436947,But I had what you call... an epiphany.,但后来我有了所谓的... 顿悟,But I had what you call... an epiphany.,But I had what you call... an epiphany.,high,reference_preserved_no_intentional_error,v1.0
MR-191,TASKA-ZHEN-062,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,18071765,So Dong-seok should be sitting by himself!,那哥哥应该自己坐好啊,So Dong-seok should be sitting by himself!,So Dong-seok should be sitting by himself!,high,reference_preserved_no_intentional_error,v1.0
MR-192,TASKA-ENZH-024,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13885161,I've never seen him that angry before.,我第一次看到他发那么大的火,我第一次看到他发那么大的火,我第一次看到他发那么大的火,high,reference_preserved_no_intentional_error,v1.0
MR-193,TASKA-ZHEN-093,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11021844,Getting a little snug up there.,有一点发烫吧，我敢打赌,Getting a little snug up there.,有一点发烫吧，我敢打赌,very_low,wrong_language_source_copy,v1.0
MR-194,TASKA-ZHEN-024,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16711384,Helena told me to come here. How is she?,海伦娜叫我来这里的 她怎么样？,Helena told me to come here. How is she?,Helena told me to come here. How is she?,high,reference_preserved_no_intentional_error,v1.0
MR-195,TASKA-ZHEN-097,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10905665,"- Well, find someone who does!",找出来谁干的！,"- Well, find someone who does!",找出来谁干的！,very_low,wrong_language_source_copy,v1.0
MR-196,TASKA-ENZH-018,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,2648350,Lucy rose from her grave and attacked me.,露西从她的坟墓里复活 袭击了我,露西从她的坟墓里复活 袭击了我,露西从她的活 袭击了我,low,substantial_contiguous_content_omission,v1.0
MR-197,TASKA-ENZH-019,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5875016,- I really wanted to tell you before.,- 我以前真的想告诉你,- 我以前真的想告诉你,- 我以前告诉你,low,substantial_contiguous_content_omission,v1.0
MR-198,TASKA-ZHEN-050,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,2308253,I'll try for the day after tomorrow,我争取后天修好。,I'll try for the day after tomorrow,I'll try the day after tomorrow,medium,minor_function_word_omission,v1.0
MR-199,TASKA-ENZH-054,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8098565,"Take a month. Hell, take a year.",拿1個月，乾脆拿1年,拿1個月，乾脆拿1年,拿1個月乾脆拿1年,medium,minor_punctuation_omission,v1.0
MR-200,TASKA-ENZH-031,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16125946,Educate me as to why.,告诉我为什么,告诉我为什么,告诉我为什么,high,reference_preserved_no_intentional_error,v1.0
